collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,17:43:12,8505000,Luzern,S,1,SBB,Sursee,2025-02-01,08:15:00,,,08:15:00,,,,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,S,5,ZB,Giswil,2025-02-01,08:16:00,,,08:16:00,,,14,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,S,3,SBB,Arth-Goldau,2025-02-01,08:21:00,,,08:21:00,,,4,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,S,9,SBB,Lenzburg,2025-02-01,08:58:00,,,08:58:00,,,10,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,S,4,ZB,Stans,2025-02-01,09:01:00,,,09:01:00,,,14,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,IC,001455,SBB,Lausanne,2025-02-01,09:01:00,,,09:01:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,RE,7,BLS-bls,Huttwil,2025-02-01,09:03:00,,,09:03:00,,,5,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,RE,7,BLS-bls,Bern,2025-02-01,09:03:00,,,09:03:00,,,5,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,IR,26,SOB-sob,Basel SBB,2025-02-01,09:05:00,,,09:05:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,S,1,SBB,Baar,2025-02-01,09:07:00,,,09:07:00,,,,,,,,,arrival,09:00,2025-02-01
