collection_date,collection_time,from_station_id,from_station_name,to_station_id,to_station_name,departure_date,arrival_date,departure_time,arrival_time,departure_timestamp,arrival_timestamp,duration_minutes,duration_str,transfers,departure_delay,arrival_delay,travel_delay,departure_platform,arrival_platform,capacity1st,capacity2nd,products,section_1_category,section_1_number,section_1_operator,section_1_from_id,section_1_from_name,section_1_departure_time,section_1_departure_timestamp,section_1_departure_delay,section_1_departure_platform,section_1_to_id,section_1_to_name,section_1_arrival_time,section_1_arrival_timestamp,section_1_arrival_delay,section_1_arrival_platform,section_1_delay_change,section_2_category,section_2_number,section_2_operator,section_2_from_id,section_2_from_name,section_2_departure_time,section_2_departure_timestamp,section_2_departure_delay,section_2_departure_platform,section_2_to_id,section_2_to_name,section_2_arrival_time,section_2_arrival_timestamp,section_2_arrival_delay,section_2_arrival_platform,section_2_delay_change,section_3_category,section_3_number,section_3_operator,section_3_from_id,section_3_from_name,section_3_departure_time,section_3_departure_timestamp,section_3_departure_delay,section_3_departure_platform,section_3_to_id,section_3_to_name,section_3_arrival_time,section_3_arrival_timestamp,section_3_arrival_delay,section_3_arrival_platform,section_3_delay_change
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,15:10:00,15:51:00,15:10:00,15:51:00,41,00d00:41:00,0,0,0,0,7,3,,,IR,IR,70,SBB,8503000,Zürich HB,15:10:00,15:10:00,0,7,8505000,Luzern,15:51:00,15:51:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,15:35:00,16:25:00,15:35:00,16:25:00,50,00d00:50:00,0,0,0,0,11,5,,,IR,IR,75,SBB,8503000,Zürich HB,15:35:00,15:35:00,0,11,8505000,Luzern,16:25:00,16:25:00,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,16:10:00,16:51:00,16:10:00,16:51:00,41,00d00:41:00,0,0,0,0,12,3,,,IR,IR,70,SBB,8503000,Zürich HB,16:10:00,16:10:00,0,12,8505000,Luzern,16:51:00,16:51:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,16:35:00,17:25:00,16:35:00,17:25:00,50,00d00:50:00,0,0,0,0,11,5,,,IR,IR,75,SBB,8503000,Zürich HB,16:35:00,16:35:00,0,11,8505000,Luzern,17:25:00,17:25:00,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,16:39:00,17:39:00,16:39:00,17:39:00,60,00d01:00:00,0,0,0,0,4,10,,,IR,IR,002567,SBB,8503000,Zürich HB,16:39:00,16:39:00,0,4,8505000,Luzern,17:39:00,17:39:00,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,17:10:00,17:51:00,17:10:00,17:51:00,41,00d00:41:00,0,0,0,0,11,3,,,IR,IR,70,SBB,8503000,Zürich HB,17:10:00,17:10:00,0,11,8505000,Luzern,17:51:00,17:51:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,17:35:00,18:25:00,17:35:00,18:25:00,50,00d00:50:00,0,0,0,0,9,7,,,IR,IR,75,SBB,8503000,Zürich HB,17:35:00,17:35:00,0,9,8505000,Luzern,18:25:00,18:25:00,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:36,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,17:39:00,18:39:00,17:39:00,18:39:00,60,00d01:00:00,0,0,0,0,4,10,,,IR,IR,002569,SBB,8503000,Zürich HB,17:39:00,17:39:00,0,4,8505000,Luzern,18:39:00,18:39:00,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,16:10:00,16:51:00,16:10:00,16:51:00,41,00d00:41:00,0,0,0,0,12,3,,,IR,IR,70,SBB,8503000,Zürich HB,16:10:00,16:10:00,0,12,8505000,Luzern,16:51:00,16:51:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,16:35:00,17:25:00,16:35:00,17:25:00,50,00d00:50:00,0,0,0,0,11,5,,,IR,IR,75,SBB,8503000,Zürich HB,16:35:00,16:35:00,0,11,8505000,Luzern,17:25:00,17:25:00,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,16:39:00,17:39:00,16:39:00,17:39:00,60,00d01:00:00,0,0,0,0,4,10,,,IR,IR,002567,SBB,8503000,Zürich HB,16:39:00,16:39:00,0,4,8505000,Luzern,17:39:00,17:39:00,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,17:10:00,17:51:00,17:10:00,17:51:00,41,00d00:41:00,0,0,0,0,11,3,,,IR,IR,70,SBB,8503000,Zürich HB,17:10:00,17:10:00,0,11,8505000,Luzern,17:51:00,17:51:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,17:35:00,18:25:00,17:35:00,18:25:00,50,00d00:50:00,0,0,0,0,9,7,,,IR,IR,75,SBB,8503000,Zürich HB,17:35:00,17:35:00,0,9,8505000,Luzern,18:25:00,18:25:00,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,17:39:00,18:39:00,17:39:00,18:39:00,60,00d01:00:00,0,0,0,0,4,10,,,IR,IR,002569,SBB,8503000,Zürich HB,17:39:00,17:39:00,0,4,8505000,Luzern,18:39:00,18:39:00,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,18:10:00,18:51:00,18:10:00,18:51:00,41,00d00:41:00,0,0,0,0,6,7,,,IR,IR,70,SBB,8503000,Zürich HB,18:10:00,18:10:00,0,6,8505000,Luzern,18:51:00,18:51:00,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,18:35:00,19:25:00,18:35:00,19:25:00,50,00d00:50:00,0,0,0,0,5,5,,,IR,IR,75,SBB,8503000,Zürich HB,18:35:00,18:35:00,0,5,8505000,Luzern,19:25:00,19:25:00,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,19:10:00,19:51:00,19:10:00,19:51:00,41,00d00:41:00,0,0,0,0,6,3,,,IR,IR,70,SBB,8503000,Zürich HB,19:10:00,19:10:00,0,6,8505000,Luzern,19:51:00,19:51:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:37,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,19:35:00,20:25:00,19:35:00,20:25:00,50,00d00:50:00,0,0,0,0,6,3,,,IR,IR,75,SBB,8503000,Zürich HB,19:35:00,19:35:00,0,6,8505000,Luzern,20:25:00,20:25:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:39,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,18:10:00,18:51:00,18:10:00,18:51:00,41,00d00:41:00,0,0,0,0,6,7,,,IR,IR,70,SBB,8503000,Zürich HB,18:10:00,18:10:00,0,6,8505000,Luzern,18:51:00,18:51:00,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:39,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,18:35:00,19:25:00,18:35:00,19:25:00,50,00d00:50:00,0,0,0,0,5,5,,,IR,IR,75,SBB,8503000,Zürich HB,18:35:00,18:35:00,0,5,8505000,Luzern,19:25:00,19:25:00,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-06,17:57:39,8503000,Zürich HB,8505000,Luzern,2025-02-06,2025-02-06,19:10:00,19:51:00,19:10:00,19:51:00,41,00d00:41:00,0,0,0,0,6,3,,,IR,IR,70,SBB,8503000,Zürich HB,19:10:00,19:10:00,0,6,8505000,Luzern,19:51:00,19:51:00,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
