collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,17:46:19,8503000,Zürich HB,IR,35,SBB,Bern,2025-02-01,08:06:00,,,08:06:00,,,,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,08:07:00,,,08:07:00,,,22,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,08:07:00,,,08:07:00,,,,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,08:08:00,,,08:08:00,,,,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,08:09:00,,,08:09:00,,,,,,,,,arrival,08:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-02-01,09:00:00,,,09:00:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,09:02:00,,,09:02:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,EC,000458,SBB,Basel Bad Bf,2025-02-01,09:04:00,,,09:04:00,,,13,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,09:05:00,,,09:05:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,09:05:00,,,09:05:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,IR,35,SBB,Bern,2025-02-01,09:06:00,,,09:06:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,09:07:00,,,09:07:00,,,22,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,09:07:00,,,09:07:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,09:08:00,,,09:08:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,09:09:00,,,09:09:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,ICE,000271,SBB,Basel Bad Bf,2025-02-01,10:00:00,,,10:00:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,10:02:00,,,10:02:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,IR,35,SOB-sob,Bern,2025-02-01,10:06:00,,,10:06:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,10:07:00,,,10:07:00,,,22,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,10:07:00,,,10:07:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,10:08:00,,,10:08:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,10:09:00,,,10:09:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,14,SBB,Affoltern am Albis,2025-02-01,10:10:00,,,10:10:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:19,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,10:10:00,,,10:10:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-02-01,11:00:00,,,11:00:00,,,8,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,11:02:00,,,11:02:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,11:05:00,,,11:05:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,11:05:00,,,11:05:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,IR,35,SOB-sob,Bern,2025-02-01,11:06:00,,,11:06:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,11:07:00,,,11:07:00,,,22,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,11:07:00,,,11:07:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,11:08:00,,,11:08:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,11:09:00,,,11:09:00,,,,,,,,,arrival,11:00,2025-02-01
