from_station_name,to_station_name,departure_delay_mean,departure_delay_median,departure_delay_max,departure_delay_count,arrival_delay_mean,arrival_delay_median,arrival_delay_max,arrival_delay_count,journey_added_delay_mean,journey_added_delay_median,journey_added_delay_max,journey_added_delay_min,duration_minutes_mean,duration_minutes_median,duration_minutes_min,duration_minutes_max,transfers_mean,transfers_median,transfers_min,transfers_max,on_time_percentage
Luzern,Genève,0.0,0.0,0,32,0.0,0.0,0,32,0.0,0.0,0,0,187.53125,185.0,181,213,1.0625,1.0,0,2,100.0
Zürich HB,Genève,0.0,0.0,0,32,0.0,0.0,0,32,0.0,0.0,0,0,176.03125,173.0,171,201,0.59375,1.0,0,1,100.0
Zürich HB,Luzern,0.0,0.0,0,32,0.0,0.0,0,32,0.0,0.0,0,0,45.5,45.5,41,50,0.0,0.0,0,0,100.0
