collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,15:59:38,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,17:58:00,,,17:58:00,,,10,,,,,,arrival,18:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,S,4,ZB,Stans,2025-01-01,18:01:00,,,18:01:00,,,14,,,,,,arrival,18:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,18:01:00,,,18:01:00,,,4,,,,,,arrival,18:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,18:58:00,,,18:58:00,,,10,,,,,,arrival,19:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,S,4,ZB,Stans,2025-01-01,19:01:00,,,19:01:00,,,14,,,,,,arrival,19:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,19:01:00,,,19:01:00,,,4,,,,,,arrival,19:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,19:58:00,,,19:58:00,,,10,,,,,,arrival,20:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,S,4,ZB,Stans,2025-01-01,20:01:00,,,20:01:00,,,14,,,,,,arrival,20:00,2025-01-01
2025-04-06,15:59:38,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,20:01:00,,,20:01:00,,,3,,,,,,arrival,20:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,20:58:00,,,20:58:00,,,9,,,,,,arrival,21:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,S,4,ZB,Stans,2025-01-01,21:01:00,,,21:01:00,,,14,,,,,,arrival,21:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,21:01:00,,,21:01:00,,,5,,,,,,arrival,21:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,21:58:00,,,21:58:00,,,10,,,,,,arrival,22:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,S,4,ZB,Stans,2025-01-01,22:01:00,,,22:01:00,,,14,,,,,,arrival,22:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,22:01:00,,,22:01:00,,,4,,,,,,arrival,22:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-01,22:58:00,,,22:58:00,,,10,,,,,,arrival,23:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,S,4,ZB,Stans,2025-01-01,23:01:00,,,23:01:00,,,14,,,,,,arrival,23:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,IR,15,SBB,Genève-Aéroport,2025-01-01,23:01:00,,,23:01:00,,,4,,,,,,arrival,23:00,2025-01-01
2025-04-06,15:59:39,8505000,Luzern,S,1,SBB,Turgi,2025-01-02,01:37:00,,,01:37:00,,,10,,,,,,arrival,05:00,2025-01-02
2025-04-06,15:59:39,8505000,Luzern,S,4,ZB,Wolfenschiessen,2025-01-02,05:22:00,,,05:22:00,,,13,,,,,,arrival,05:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,S,6,BLS-bls,Wolhusen,2025-01-02,06:00:00,,,06:00:00,,,5,,,,,,arrival,06:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,S,4,ZB,Stans,2025-01-02,06:01:00,,,06:01:00,,,14,,,,,,arrival,06:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,PE,LIX,ZB,Meiringen,2025-01-02,06:55:00,,,06:55:00,,,13,,,,,,arrival,07:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,S,4,ZB,Stans,2025-01-02,07:01:00,,,07:01:00,,,14,,,,,,arrival,07:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,IR,15,SBB,Fribourg/Freiburg,2025-01-02,07:01:00,,,07:01:00,,,6,,,,,,arrival,07:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-02,07:58:00,,,07:58:00,,,10,,,,,,arrival,08:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,S,4,ZB,Stans,2025-01-02,08:01:00,,,08:01:00,,,14,,,,,,arrival,08:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,IR,15,SBB,Lausanne,2025-01-02,08:01:00,,,08:01:00,,,3,,,,,,arrival,08:00,2025-01-02
2025-04-06,15:59:40,8505000,Luzern,S,9,SBB,Lenzburg,2025-01-02,08:58:00,,,08:58:00,,,10,,,,,,arrival,09:00,2025-01-02
