collection_date,collection_time,from_station_id,from_station_name,to_station_id,to_station_name,departure_date,arrival_date,departure_time,arrival_time,departure_timestamp,arrival_timestamp,duration_minutes,duration_str,transfers,departure_delay,arrival_delay,travel_delay,departure_platform,arrival_platform,capacity1st,capacity2nd,products,section_1_category,section_1_number,section_1_operator,section_1_from_id,section_1_from_name,section_1_departure_time,section_1_departure_timestamp,section_1_departure_delay,section_1_departure_platform,section_1_to_id,section_1_to_name,section_1_arrival_time,section_1_arrival_timestamp,section_1_arrival_delay,section_1_arrival_platform,section_1_delay_change,section_2_category,section_2_number,section_2_operator,section_2_from_id,section_2_from_name,section_2_departure_time,section_2_departure_timestamp,section_2_departure_delay,section_2_departure_platform,section_2_to_id,section_2_to_name,section_2_arrival_time,section_2_arrival_timestamp,section_2_arrival_delay,section_2_arrival_platform,section_2_delay_change
2025-04-06,10:58:26,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,12:32:00,15:25:00,12:32:00,15:25:00,173,00d02:53:00,0,0,0,0,32,3,,,IC,IC,1,SBB,8503000,Zürich HB,12:32:00,12:32:00,0,32,8501008,Genève,15:25:00,15:25:00,0,3,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:26,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,13:04:00,15:55:00,13:04:00,15:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,13:04:00,13:04:00,0,32,8501118,Renens VD,15:18:00,15:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,15:23:00,15:23:00,0.0,2,8501008,Genève,15:55:00,15:55:00,0.0,3,0.0
2025-04-06,10:58:26,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,13:32:00,16:25:00,13:32:00,16:25:00,173,00d02:53:00,0,0,0,0,32,3,,,IC,IC,1,SBB,8503000,Zürich HB,13:32:00,13:32:00,0,32,8501008,Genève,16:25:00,16:25:00,0,3,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:29,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,14:04:00,16:55:00,14:04:00,16:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,14:04:00,14:04:00,0,32,8501118,Renens VD,16:18:00,16:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,16:23:00,16:23:00,0.0,2,8501008,Genève,16:55:00,16:55:00,0.0,3,0.0
2025-04-06,10:58:29,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,14:32:00,17:25:00,14:32:00,17:25:00,173,00d02:53:00,0,0,0,0,32,3,,,IC,IC,1,SBB,8503000,Zürich HB,14:32:00,14:32:00,0,32,8501008,Genève,17:25:00,17:25:00,0,3,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:29,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,15:04:00,17:55:00,15:04:00,17:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,15:04:00,15:04:00,0,32,8501118,Renens VD,17:18:00,17:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,17:23:00,17:23:00,0.0,2,8501008,Genève,17:55:00,17:55:00,0.0,3,0.0
2025-04-06,10:58:29,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,15:32:00,18:25:00,15:32:00,18:25:00,173,00d02:53:00,0,0,0,0,32,3,,,IC,IC,1,SBB,8503000,Zürich HB,15:32:00,15:32:00,0,32,8501008,Genève,18:25:00,18:25:00,0,3,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:31,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,16:04:00,18:55:00,16:04:00,18:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,16:04:00,16:04:00,0,32,8501118,Renens VD,18:18:00,18:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,18:23:00,18:23:00,0.0,2,8501008,Genève,18:55:00,18:55:00,0.0,3,0.0
2025-04-06,10:58:31,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,16:32:00,19:25:00,16:32:00,19:25:00,173,00d02:53:00,0,0,0,0,32,3,,,IC,IC,1,SBB,8503000,Zürich HB,16:32:00,16:32:00,0,32,8501008,Genève,19:25:00,19:25:00,0,3,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:31,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,17:04:00,19:55:00,17:04:00,19:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,17:04:00,17:04:00,0,32,8501118,Renens VD,19:18:00,19:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,19:23:00,19:23:00,0.0,2,8501008,Genève,19:55:00,19:55:00,0.0,3,0.0
2025-04-06,10:58:31,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,17:32:00,20:29:00,17:32:00,20:29:00,177,00d02:57:00,0,0,0,0,32,4,,,IC,IC,1,SBB,8503000,Zürich HB,17:32:00,17:32:00,0,32,8501008,Genève,20:29:00,20:29:00,0,4,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:33,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,18:04:00,20:55:00,18:04:00,20:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,18:04:00,18:04:00,0,32,8501118,Renens VD,20:18:00,20:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,20:23:00,20:23:00,0.0,2,8501008,Genève,20:55:00,20:55:00,0.0,3,0.0
2025-04-06,10:58:33,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,18:32:00,21:25:00,18:32:00,21:25:00,173,00d02:53:00,0,0,0,0,32,3,,,IC,IC,1,SBB,8503000,Zürich HB,18:32:00,18:32:00,0,32,8501008,Genève,21:25:00,21:25:00,0,3,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:33,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,19:04:00,21:55:00,19:04:00,21:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,19:04:00,19:04:00,0,32,8501118,Renens VD,21:18:00,21:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,21:23:00,21:23:00,0.0,2,8501008,Genève,21:55:00,21:55:00,0.0,3,0.0
2025-04-06,10:58:33,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,19:32:00,22:38:00,19:32:00,22:38:00,186,00d03:06:00,1,0,0,0,32,4,,,"IC, IR",IC,1,SBB,8503000,Zürich HB,19:32:00,19:32:00,0,32,8501120,Lausanne,21:43:00,21:43:00,0,4,0,IR,95,SBB,8501120,Lausanne,21:51:00,21:51:00,0.0,8,8501008,Genève,22:38:00,22:38:00,0.0,4,0.0
2025-04-06,10:58:34,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,20:04:00,22:55:00,20:04:00,22:55:00,171,00d02:51:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,20:04:00,20:04:00,0,32,8501118,Renens VD,22:18:00,22:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,22:23:00,22:23:00,0.0,2,8501008,Genève,22:55:00,22:55:00,0.0,3,0.0
2025-04-06,10:58:34,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-17,20:32:00,23:25:00,20:32:00,23:25:00,173,00d02:53:00,0,0,0,0,32,3,,,IC,IC,1,SBB,8503000,Zürich HB,20:32:00,20:32:00,0,32,8501008,Genève,23:25:00,23:25:00,0,3,0,,,,,,,,,,,,,,,,
2025-04-06,10:58:34,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-18,21:04:00,00:00:00,21:04:00,00:00:00,176,00d02:56:00,1,0,0,0,32,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,21:04:00,21:04:00,0,32,8501118,Renens VD,23:18:00,23:18:00,0,4,0,IR,90,SBB,8501118,Renens VD,23:23:00,23:23:00,0.0,2,8501008,Genève,00:00:00,00:00:00,0.0,3,0.0
2025-04-06,10:58:34,8503000,Zürich HB,8501008,Genève,2025-01-17,2025-01-18,21:30:00,00:35:00,21:30:00,00:35:00,185,00d03:05:00,1,0,0,0,18,3,,,"IC, IR",IC,5,SBB,8503000,Zürich HB,21:30:00,21:30:00,0,18,8501118,Renens VD,23:48:00,23:48:00,0,4,0,IR,95,SBB,8501118,Renens VD,23:57:00,23:57:00,0.0,2,8501008,Genève,00:35:00,00:35:00,0.0,3,0.0
